#Day	Devices
2018-05-10 00:00:00	81
2018-05-12 00:00:00	81
2018-05-13 00:00:00	82
2018-05-12 00:00:00	82
2018-05-13 00:00:00	82
2018-05-14 00:00:00	83
2018-05-15 00:00:00	83
2018-05-16 00:00:00	83
2018-05-18 00:00:00	83
2018-05-20 00:00:00	83
2018-05-21 00:00:00	83
